,serial_no,star_name,distance,mass,radius,luminosity
30,"['1.72', 'Gamma Velorum', 'γ1,2 Vel', '01,100', 'WC8', '9.0', '6', '170,000']",Gamma Velorum,"01,100",9.0,6,"170,000"
31,"['1.74', 'Alnair', 'α Gru', '0101', 'B7', '4.0', '3.4', '260']",Alnair,0101,4.0,3.4,260
32,"['1.77', 'Alioth', 'ε UMa', '0081', 'A1', '2.9', '4.2', '110']",Alioth,0081,2.9,4.2,110
33,"['1.77', 'Alnitak', 'ζ Ori', '01050', 'O9.7', '33', '20', '120,000']",Alnitak,01050,33,20,"120,000"
34,"['1.79', 'Dubhe', 'α UMa', '0120', 'G9', '4.25', '30', '300']",Dubhe,0120,4.25,30,300
35,"['1.80', 'Mirfak', 'α Per', '0590', 'F5', '8.5', '68', '5,000']",Mirfak,0590,8.5,68,"5,000"
36,"['1.82', 'Wezen', 'δ CMa', '1,600', 'F8', '17', '200', '82,000']",Wezen,"1,600",17,200,"82,000"
37,"['1.84', 'Sargas', 'θ Sco', '0270', 'F0', '5.7', '26', '1,800']",Sargas,0270,5.7,26,"1,800"
38,"['1.85', 'Kaus Australis', 'ε Sgr', '0140', 'B9.5', '3.5', '6.8', '360']",Kaus Australis,0140,3.5,6.8,360
39,"['1.86', 'Avior', 'ε Car', '0630', 'K3', '9.0', '130', '60,000']",Avior,0630,9.0,130,"60,000"
40,"['1.86', 'Alkaid', 'η UMa', '0104', 'B3', '6.1', '3.4', '1,350']",Alkaid,0104,6.1,3.4,"1,350"
41,"['1.90', 'Menkalinan', 'β Aur', '081', 'A1', '2.39', '2.77', '50']",Menkalinan,081,2.39,2.77,50
42,"['1.91', 'Atria', 'α TrA', '0390', 'K2', '7', '92', '5,500']",Atria,0390,7,92,"5,500"
43,"['1.92', 'Alhena', 'γ Gem', '0109', 'A1.5', '2.8', '3.3', '120']",Alhena,0109,2.8,3.3,120
44,"['1.94', 'Peacock', 'α Pav', '0180', 'B3', '5.9', '4.8', '2,200']",Peacock,0180,5.9,4.8,"2,200"
45,"['1.96', 'Alsephina[2]', 'δ Vel', '0080', 'A1', '2.4', '2.9', '90']",Alsephina[2],0080,2.4,2.9,90
46,"['1.98', 'Mirzam', 'β CMa', '0500', 'B1', '13.5', '10', '27,000']",Mirzam,0500,13.5,10,"27,000"
47,"['1.98', 'Polaris', 'α UMi', '0430', 'F8', '5.4', '39', '2,500']",Polaris,0430,5.4,39,"2,500"
48,"['2.00', 'Alphard', 'α Hya', '0180', 'K3', '3.0', '50', '780']",Alphard,0180,3.0,50,780
49,"['2.23', 'Mintaka', 'δ Ori', '01200', 'O9.5', '24', '16.5', '190,000']",Mintaka,01200,24,16.5,"190,000"
50,"['2.42', 'Scheat', 'β Peg', '0196', 'M2.5', '2.1', '95', '1,500']",Scheat,0196,2.1,95,"1,500"
51,"['2.98', 'Almaaz', 'ε Aur', '0653', 'F0', '15', '140', '43,000']",Almaaz,0653,15,140,"43,000"
52,"['3.35', 'Rasalgethi', 'α Her', '0360', 'M5', '2.8', '280', '8,300']",Rasalgethi,0360,2.8,280,"8,300"
53,"['3.50', 'Tau Ceti', 'τ Cet', '011.9', 'G8', '0.783', '0.893', '0.52']",Tau Ceti,011.9,0.783,0.893,0.52
54,"['3.56', 'Delta Pavonis', 'δ Pav', '019.92', 'G8', '0.991', '1.22', '1.22']",Delta Pavonis,019.92,0.991,1.22,1.22
55,"['3.74', 'Ran', 'ε Eri', '010.48', 'K2', '0.82', '0.74', '0.34']",Ran,010.48,0.82,0.74,0.34
56,"['3.83', 'V382 Carinae', 'Car', '08,900', 'G2', '20', '485', '212,000']",V382 Carinae,"08,900",20,485,"212,000"
57,"['4', 'Eta Carinae', 'η Car', '07,500', 'O', '100', '60–881', '5,000,000']",Eta Carinae,"07,500",100,60–881,"5,000,000"
58,"['4.07', 'Delta Cephei', 'δ Cep', '0887', 'F5', '4.5', '44.5', '2,000']",Delta Cephei,0887,4.5,44.5,"2,000"
59,"['4.08', 'Mu Cephei', 'μ Cep', '06,000', 'M2', '19.2', '972', '135,000']",Mu Cephei,"06,000",19.2,972,"135,000"
60,"['4.09', 'Titawin', 'υ And', '044.25', 'F8', '1.27', '1.48', '3.57']",Titawin,044.25,1.27,1.48,3.57
61,"['4.1', 'Rho Cassiopeiae', 'ρ Cas', '08,154', 'G2', '22', '636-981', '347,000 - 530,000']",Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
62,"['4.82', 'P Cygni', 'P Cyg', '05,545', 'B1', '30', '76', '610,000']",P Cygni,"05,545",30,76,"610,000"
63,"['4.86', 'La Superba', 'CVn', '01,000', 'C5', '', '129 - 342', '2,472 - 5,800']",La Superba,"01,000",,129 - 342,"2,472 - 5,800"
64,"['4.91', 'VV Cephei', 'Cep', '04,900', 'M2', '18.2', '516 - 1,050', '200,000']",VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
65,"['5.20', '61 Cygni', 'Cyg', '011.41', 'K5', '0.7', '0.665', '0.153']",61 Cygni,011.41,0.7,0.665,0.153
